config_label,count,char_count_mean,char_count_std,word_count_mean,word_count_std,unique_words_mean,unique_words_std,ttr_mean,ttr_std,herdan_c_mean,herdan_c_std,avg_sentence_len_mean,avg_sentence_len_std,std_sentence_len_mean,std_sentence_len_std,avg_word_len_mean,avg_word_len_std,discourse_markers_mean,discourse_markers_std,discourse_per_100w_mean,discourse_per_100w_std,lexical_density_mean,lexical_density_std,long_sentences_pct_mean,long_sentences_pct_std,short_sentences_pct_mean,short_sentences_pct_std,repeat_word_pct_mean,repeat_word_pct_std,tokens_per_sec_mean,tokens_per_sec_std
Creative,26,19872.7692,16571.389,2700.8077,2243.8905,924.3462,619.8334,0.4162,0.1232,0.8801,0.0252,22.9385,4.4664,9.1515,2.1506,5.9469,0.4455,13.3077,15.3669,0.5273,0.3564,0.6747,0.0464,21.9242,15.4317,4.2181,6.19,12.2412,4.7242,251.1112,173.9087
Precise,26,19044.6538,18287.2691,2636.5,2569.4483,789,555.6325,0.3791,0.1061,0.867,0.026,18.2254,4.9085,9.5238,2.7005,5.7992,0.222,8.6538,8.2022,0.3688,0.2015,0.6873,0.0476,10.3212,7.6791,14.7038,17.7867,15.0738,5.4588,253.5023,174.8428
Standard,26,43669.0385,103719.6975,6227.4615,15113.4822,883.9615,625.7845,0.3556,0.158,0.8532,0.0558,21.7458,4.1836,9.48,2.8052,5.7288,0.4427,41.3077,148.1666,0.3685,0.3382,0.6618,0.0517,17.285,12.641,6.9354,8.0634,16.1808,8.2351,246.7773,169.4855
