prompt,count,char_count_mean,char_count_std,word_count_mean,word_count_std,unique_words_mean,unique_words_std,ttr_mean,ttr_std,herdan_c_mean,herdan_c_std,avg_sentence_len_mean,avg_sentence_len_std,std_sentence_len_mean,std_sentence_len_std,avg_word_len_mean,avg_word_len_std,discourse_markers_mean,discourse_markers_std,discourse_per_100w_mean,discourse_per_100w_std,lexical_density_mean,lexical_density_std,long_sentences_pct_mean,long_sentences_pct_std,short_sentences_pct_mean,short_sentences_pct_std,repeat_word_pct_mean,repeat_word_pct_std,tokens_per_sec_mean,tokens_per_sec_std
prompt_detailed,24,19826.6667,20400.6983,2756.9583,2863.96,796.1667,620.0803,0.3825,0.1084,0.8671,0.0271,20.2175,4.8967,10.0496,2.7878,5.8087,0.2409,10.4167,14.4761,0.3887,0.303,0.6728,0.0406,16.2546,13.3467,10.7558,12.2591,14.4621,5.7551,253.365,179.5937
prompt_maxlength,27,40567.7407,100572.3877,5735.4444,14683.3725,968.6667,484.8975,0.3611,0.1221,0.8616,0.049,21.5059,5.7523,8.9411,2.5157,5.9807,0.2982,39.5185,144.6921,0.4304,0.2772,0.6894,0.0498,17.8015,16.0732,7.3937,13.4784,15.0993,6.2096,248.5041,171.9553
prompt_standard,27,21336.2593,23803.8167,2950.3704,3282.5193,824.7407,678.2296,0.4072,0.1578,0.8716,0.0389,21.1026,4.0059,9.2385,2.2957,5.6837,0.5148,12.1481,19.0439,0.4419,0.3582,0.6614,0.0529,15.4459,9.4153,7.9452,11.9134,13.9304,7.4167,249.8441,167.3496
